time,value,category
2018-03-19 11:02:43,18,A
2018-03-18 05:18:28,106,C
2018-03-20 11:46:10,113,C
2018-03-16 16:04:03,24,B
2018-03-21 16:25:30,14,A
2018-03-19 19:41:04,21,B
2018-03-16 20:17:57,29,B
2018-03-19 09:58:24,12,B
2018-03-20 19:59:40,18,C
2018-03-16 11:26:21,1,C
2018-03-19 06:15:55,11,A
2018-03-21 12:00:51,51,C
2018-03-19 14:52:01,"1,173",C
2018-03-17 01:07:43,88,C
2018-03-21 12:33:54,22,C
2018-03-16 11:14:21,1,C
2018-03-19 08:18:57,7,A
2018-03-21 12:55:54,117,C
2018-03-16 02:10:54,14,C
2018-03-19 15:24:45,9,A
2018-03-18 22:20:43,26,B
2018-03-19 21:48:25,130,B
2018-03-21 09:38:13,70,B
2018-03-21 19:41:11,25,C
2018-03-16 01:15:28,20,B
2018-03-20 14:36:47,78,B
2018-03-20 00:48:04,0,A
2018-03-19 07:53:12,65,B
2018-03-21 05:02:26,130,B
2018-03-20 15:34:05,481,C
2018-03-16 19:32:52,146,A
2018-03-18 16:43:45,616,C
2018-03-19 11:02:16,11,A
2018-03-19 10:50:32,8,B
2018-03-16 12:29:31,5,A
2018-03-21 06:01:01,136,B
2018-03-20 09:01:43,7,A
2018-03-19 05:31:27,132,A
2018-03-20 07:12:48,7,A
2018-03-19 18:50:16,53,B
2018-03-20 15:44:28,143,C
2018-03-16 09:22:47,149,C
2018-03-16 09:36:41,24,B
2018-03-16 06:14:00,22,C
2018-03-21 09:56:04,16,A
2018-03-20 08:14:54,51,A
2018-03-21 05:30:43,24,B
2018-03-21 16:02:21,30,C
2018-03-19 10:09:01,54,B
2018-03-21 15:14:26,23,A
2018-03-20 15:33:35,22,B
2018-03-20 05:30:19,18,A
2018-03-19 12:23:23,33,C
2018-03-21 04:47:49,13,C
2018-03-21 13:53:47,13,C
2018-03-16 05:01:27,144,C
2018-03-21 18:03:18,608,B
2018-03-20 12:13:02,28,B
2018-03-19 02:26:06,6,C
2018-03-20 16:58:31,43,B
2018-03-18 16:44:50,51,C
2018-03-19 16:48:11,317,A
2018-03-18 04:00:36,30,A
2018-03-21 09:22:53,8,C
2018-03-16 13:07:24,2,A
2018-03-21 15:39:25,453,C
2018-03-20 12:31:57,57,B
2018-03-19 10:15:01,30,A
2018-03-21 13:22:54,73,C
2018-03-19 17:14:49,66,A
2018-03-20 19:14:39,9,C
2018-03-20 07:32:04,24,A
2018-03-19 18:37:19,5,C
2018-03-21 13:18:29,10,C
2018-03-17 03:08:26,124,B
2018-03-18 11:29:12,4,A
2018-03-20 06:44:41,42,C
2018-03-19 07:20:29,28,B
2018-03-20 12:00:49,40,C
2018-03-19 08:32:09,7,A
2018-03-20 11:54:39,78,C
2018-03-20 16:43:27,15,B
2018-03-20 07:05:43,20,A
2018-03-20 19:29:18,2,A
2018-03-21 10:04:27,650,A
2018-03-21 14:13:09,0,C
2018-03-19 12:12:38,4,B
2018-03-21 14:09:56,13,A
2018-03-20 16:36:34,6,A
2018-03-19 12:23:00,9,C
2018-03-19 18:54:49,364,C
2018-03-20 23:00:37,3,C
2018-03-21 08:22:38,4,B
2018-03-17 09:21:00,90,B
2018-03-19 12:20:28,"1,899",C
2018-03-16 02:58:23,25,C
2018-03-16 12:06:26,189,C
2018-03-21 13:16:00,49,C
2018-03-21 17:43:34,14,A
2018-03-20 20:08:56,7,B
2018-03-20 16:37:16,3,C
2018-03-21 10:49:25,25,C
2018-03-18 00:14:45,2,B
2018-03-19 21:01:00,127,A
2018-03-21 14:51:43,21,A
2018-03-16 15:19:45,63,C
2018-03-19 10:14:12,134,B
2018-03-20 11:03:38,78,C
2018-03-21 20:20:44,135,C
2018-03-20 20:15:04,1,A
2018-03-16 06:20:16,119,B
2018-03-20 06:14:47,1,A
2018-03-21 11:56:18,146,A
2018-03-21 06:12:19,9,A
2018-03-20 13:44:34,36,A
2018-03-16 18:29:11,3,B
2018-03-19 07:16:45,150,B
2018-03-20 16:12:50,34,B
2018-03-20 12:47:53,17,C
2018-03-21 15:35:30,13,C
2018-03-21 13:19:59,18,A
2018-03-19 12:24:56,20,B
2018-03-21 05:11:10,124,A
2018-03-20 04:30:47,140,A
2018-03-19 18:29:26,5,B
2018-03-19 04:31:29,1,C
2018-03-20 08:40:21,12,C
2018-03-20 06:00:53,594,B
2018-03-18 21:55:32,104,C
2018-03-19 11:09:41,0,A
2018-03-21 16:38:51,20,A
2018-03-19 10:19:39,3,A
2018-03-18 13:26:29,6,B
2018-03-21 19:46:08,23,A
2018-03-19 06:03:09,24,B
2018-03-20 11:16:11,83,C
2018-03-20 11:52:48,0,A
2018-03-21 07:51:35,4,B
2018-03-19 18:33:46,"1,503",A
2018-03-21 06:42:27,279,A
2018-03-19 15:21:55,706,C
2018-03-21 07:57:27,14,C
2018-03-19 11:51:38,34,A
2018-03-20 13:45:42,17,A
2018-03-19 21:26:37,48,B
2018-03-16 12:21:21,26,A
2018-03-16 11:00:26,14,A
2018-03-20 08:58:47,12,B
2018-03-20 06:56:58,5,C
2018-03-19 14:58:09,13,C
2018-03-19 06:27:50,32,A
2018-03-16 09:59:25,36,B
2018-03-19 11:09:12,39,B
2018-03-21 13:36:12,11,A
2018-03-18 19:30:03,1,B
2018-03-19 11:29:27,65,B
2018-03-20 18:20:42,33,B
2018-03-16 13:41:34,41,B
2018-03-21 20:31:46,4,C
2018-03-21 09:58:06,621,C
2018-03-20 08:56:42,14,A
2018-03-20 12:13:16,9,C
2018-03-20 14:38:28,4,A
2018-03-20 12:22:21,6,B
2018-03-20 12:00:52,38,C
2018-03-16 11:31:00,14,C
2018-03-21 15:50:20,0,C
2018-03-20 10:19:38,200,A
2018-03-19 13:58:19,25,A
2018-03-19 16:48:04,134,B
2018-03-21 03:00:38,153,C
2018-03-19 16:13:40,69,C
2018-03-19 21:01:02,3,B
2018-03-21 15:14:19,1,C
2018-03-20 07:13:47,13,B
2018-03-21 09:54:20,28,A
2018-03-20 06:56:14,19,B
2018-03-19 20:04:49,46,C
2018-03-16 08:53:55,268,A
2018-03-19 06:52:10,1,C
2018-03-20 18:38:31,81,C
2018-03-16 08:58:21,126,A
2018-03-19 09:28:25,146,B
2018-03-20 08:17:17,16,C
2018-03-20 07:07:34,127,B
2018-03-17 02:15:20,99,B
2018-03-17 07:34:28,103,C
2018-03-21 10:44:56,33,A
2018-03-20 12:26:14,53,A
2018-03-20 05:43:58,124,A
2018-03-20 10:19:48,20,B
2018-03-19 08:04:34,18,C
2018-03-20 12:53:00,57,A
2018-03-16 21:12:10,2,C
2018-03-16 02:19:52,39,A
2018-03-21 03:29:21,1,C
2018-03-21 08:29:27,2,B
2018-03-19 13:33:42,3,C
2018-03-20 21:21:38,57,A
2018-03-19 07:20:53,36,C
2018-03-16 20:08:28,27,A
2018-03-20 22:40:53,126,B
2018-03-16 14:51:27,27,A
2018-03-20 14:59:47,0,C
2018-03-16 08:16:09,131,C
2018-03-19 13:25:31,5,C
2018-03-19 17:43:24,8,A
2018-03-19 12:08:17,3,B
2018-03-16 04:24:05,10,C
2018-03-17 05:31:33,34,C
2018-03-20 05:32:28,16,A
2018-03-21 10:08:52,15,C
2018-03-20 06:02:03,162,A
2018-03-21 13:49:20,9,C
2018-03-19 06:33:07,3,C
2018-03-19 14:48:52,62,B
2018-03-16 03:35:43,137,B
2018-03-19 15:55:05,134,C
2018-03-21 04:35:28,23,C
2018-03-17 09:01:27,1,C
2018-03-18 20:47:03,25,A
2018-03-19 03:36:45,3,C
2018-03-19 13:02:24,9,B
2018-03-20 04:35:21,26,A
2018-03-16 16:46:02,15,A
2018-03-19 12:58:09,11,A
2018-03-19 09:16:04,8,B
2018-03-20 20:57:03,2,C
2018-03-16 05:30:28,29,A
2018-03-16 21:05:36,3,C
2018-03-18 05:12:59,31,C
2018-03-19 21:24:18,11,B
2018-03-17 01:15:29,26,C
2018-03-21 10:28:37,28,B
2018-03-20 15:43:05,22,B
2018-03-20 11:35:19,108,C
2018-03-16 03:24:49,142,A
2018-03-16 13:14:41,1,A
2018-03-20 08:23:02,19,B
2018-03-20 13:29:34,2,B
2018-03-21 01:44:36,264,A
2018-03-16 18:14:33,2,B
2018-03-20 12:52:40,139,A
2018-03-21 09:38:28,14,B
2018-03-21 18:58:25,796,A
2018-03-16 08:35:58,123,C
2018-03-20 07:59:24,11,C
2018-03-20 17:27:17,170,A
2018-03-20 09:44:46,4,B
2018-03-16 06:41:33,128,B
2018-03-21 14:28:50,13,C
2018-03-17 05:59:27,31,B
2018-03-21 20:32:02,8,B
2018-03-16 10:56:30,12,C
2018-03-17 10:20:57,29,B
